x_rec,y_rec,yaw_rec
-11.002995740170984,-3.85949589139264,1.3562876114166027
-11.013845674047902,-3.909298086451745,1.360125633366841
-11.02457984483049,-3.9594944233220937,1.3649208839501368
-11.035146511839214,-4.010092760786691,1.3696468505825747
-11.045545168313744,-4.061089809514765,1.3743053593380503
-11.055775329455795,-4.112482315767975,1.3802965108167848
-11.065764109204292,-4.164281078998239,1.3861958236057574
-11.075511410847511,-4.216482066519258,1.3920057868122757
-11.085017160431251,-4.269081303390744,1.3990155954664012
-11.09421310614924,-4.32208674807114,1.4059118903879937
-11.103099739336773,-4.375493569044437,1.4126978260776342
-11.11167757181929,-4.4292970209423945,1.419376674874319
-11.119947121874123,-4.483492443831073,1.4271455728603495
-11.127843736441227,-4.53808472765084,1.4347836063542574
-11.135368666397376,-4.593068336701729,1.4422947292034807
